"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","09/10/2010","21:28:07","","source file [zip:///Users/andrea/dev/workspace/Membase-Cache-Extension/webroot/extensions/ext/MongoDBCache.zip!/config.xml] is not a file"
"ERROR","web-0","09/16/2010","21:02:46","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:03:03","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:03:30","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:04:45","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:04:52","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:06:04","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:06:30","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:06:47","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:07:02","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:07:02","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:07:28","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:07:29","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:07:47","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:08:56","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:09:44","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:42:29","","java.lang.NullPointerException"
"ERROR","web-0","09/16/2010","21:44:56","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:08","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:09","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:12","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:13","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:17","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:18","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:18","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:18","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:18","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:19","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:19","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:19","","org.mortbay.jetty.EofException"
"ERROR","web-0","09/16/2010","21:45:19","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:19","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:19","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:19","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:20","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:20","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:20","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:20","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:20","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:20","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:21","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:21","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:45:22","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:46:51","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
"ERROR","web-0","09/16/2010","21:49:07","","key [LEFT] doesn't exist in struct (keys:label,right,cs)"
